player;gr-tichu-card-1;gr-tichu-card-2;gr-tichu-card-3;gr-tichu-card-4;gr-tichu-card-5;gr-tichu-card-6;gr-tichu-card-7;gr-tichu-card-8;start-card-1;start-card-2;start-card-3;start-card-4;start-card-5;start-card-6;deal-left;deal-middle;deal-right;out;wish;tichu;gr-tichu
wonne1979;SK;RD;GD;S10;S9;S7;S4;B2;SD;B9;G9;B5;S5;G5;B2;SK;S4;2.0;;0;0
ermis84;GB;G8;G7;R5;B3;S2;G2;R2;RA;SA;GK;RK;R6;S3;S3;GB;B3;3.0;;0;0
Totti123;RB;G10;B7;B6;G6;S6;G3;Hu;BA;GA;BK;R7;B4;R3;B4;G10;Hu;4.0;;0;0
sonnemone;Dr;BB;B10;R9;S8;R8;B8;G4;Ph;BD;SB;R10;R4;Ma;G4;Ma;R4;1.0;;1;0
wonne1979;Ph;BD;GD;G10;R8;G4;G2;Hu;Dr;BK;S10;B9;R9;S2;G2;Ph;S2;2.0;;0;0
ermis84;BA;RA;GK;BB;B8;S5;B4;B2;B10;S9;S8;G8;G3;S3;S3;GK;G3;3.5;;0;0
Totti123;SB;R7;G7;G6;S6;G5;R2;Ma;RK;RD;GB;RB;R3;B3;G6;G7;R3;1.0;4;0;0
sonnemone;SK;R10;G9;S7;B7;B6;R5;S4;SA;GA;SD;R6;B5;R4;SD;R10;G9;3.5;;0;0
wonne1979;RB;G10;S10;B10;S9;B7;B5;B3;B8;S7;R6;S6;S5;G4;S6;S7;S5;3.0;;0;0
ermis84;Dr;BK;SK;GB;S3;R3;G2;Ma;GK;RK;R10;R7;G6;S2;S2;Dr;G2;4.0;4;0;0
Totti123;BA;GD;G8;G7;R4;S4;B2;R2;Ph;RA;SA;B9;S8;G5;B2;S8;R2;1.0;;1;0
sonnemone;GA;RD;SD;BB;R8;B6;B4;Hu;BD;SB;G9;R9;R5;G3;B4;GA;G3;2.0;;0;0
wonne1979;GA;R9;B8;S7;B6;B4;S3;B2;BA;BK;SD;G9;R8;Hu;B2;BA;S3;4.0;;0;0
